Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"18,52",baixada,"-1,02%","-0,19","15.644.837,83","18.366,62","20,15","4,06%",17:38
ACCIONA,"68,72",baixada,"-1,52%","-1,06","10.664.159,70","3.942,32","15,80","4,30%",17:38
ACS,"34,19",baixada,"-0,87%","-0,30","17.565.582,93","10.761,53","13,54","3,68%",17:38
ADVEO,"2,74",pujada,"+0,00%","0,00","57.874,89","58,91","16,23","0,00%",17:38
Atresmedia,"8,52",baixada,"-0,58%","-0,05","2.348.629,44","1.913,18","13,14","6,32%",17:38
BBVA,"7,33",baixada,"-1,76%","-0,13","143.440.160,38","48.768,92","11,34","3,48%",17:38
BME,"28,830",baixada,"-0,59%","-0,170","4.397.278,61","2.411,89","15,15","6,32%",17:38
CAIXABANK,"3,97",baixada,"-1,66%","-0,07","74.455.366,63","23.722,38","13,23","3,68%",17:38
DIA,"4,08",baixada,"-2,37%","-0,10","28.856.073,52","2.537,76","10,60","5,05%",17:38
ENAGAS,"24,24",baixada,"-0,84%","-0,21","15.142.131,98","5.778,56","12,22","6,04%",17:38
ENCE,"5,250",pujada,"+0,00%","0,000","4.124.602,72","1.292,93","14,08","3,28%",17:38
ENDESA,"19,46",pujada,"+0,39%","0,08","39.097.018,11","20.603,32","15,02","6,96%",17:38
FCC,"8,92",baixada,"-2,45%","-0,22","361.784,05","3.391,25","18,40","0,00%",17:38
FERROVIAL,"18,50",baixada,"-0,67%","-0,13","17.503.676,46","13.681,11","33,90","3,17%",17:38
GAS NATURAL,"18,14",baixada,"-1,41%","-0,26","24.643.559,51","18.082,46","14,02","5,49%",17:38
IAG (IBERIA),"7,01",baixada,"-0,95%","-0,07","23.821.721,95","14.869,06","7,14","3,76%",17:38
IBERDROLA,"6,86",baixada,"-0,54%","-0,04","75.016.555,23","43.243,39","15,47","4,90%",17:38
MAPFRE,"2,74",baixada,"-2,49%","-0,07","13.628.677,08","8.431,82","12,51","5,40%",17:38
MEDIASET,"8,904",baixada,"-1,93%","-0,175","6.737.225,92","3.001,84","15,53","6,11%",17:38
POPULAR,"0,32",baixada,"-6,21%","-0,02","80.937.179,78","1.305,22","0,00","0,00%",8/06
REE,"18,26",baixada,"-0,27%","-0,05","18.945.565,74","9.853,07","14,81","5,00%",17:38
REPSOL,"15,92",baixada,"-1,49%","-0,24","92.416.013,10","24.224,50","11,10","5,15%",17:38
SABADELL,"1,69",baixada,"-2,71%","-0,05","45.302.391,22","9.496,91","11,34","3,78%",17:38
SAETA YIELD,"9,68",baixada,"-0,05%","-0,01","489.609,54","784,93","16,21","8,09%",17:38
SANTANDER,"5,71",baixada,"-1,87%","-0,11","234.559.488,85","91.415,23","12,30","3,85%",17:38
TECNICAS REUNIDAS,"27,75",baixada,"-0,84%","-0,24","9.734.837,56","1.551,95","10,88","5,28%",17:38
TELEFONICA,"8,89",baixada,"-1,54%","-0,14","155.830.384,63","44.715,56","12,07","4,60%",17:38
ZARDOYA OTIS,"9,43",pujada,"+0,32%","0,03","1.818.084,34","4.412,96","27,73","3,50%",17:38
